run_id,channel,I_set,I_meas_A,B1_mean_T,B1_std_T,golden_B1_mean_T,worst_absdiff_T,worst_order,n_turns
58,V,-0.173,1001.0457058548494,-6.890305858604197e-05,7.664890200020909e-09,-6.890305858604193e-05,4.472333961502706e-19,1,10
59,V,0.116,1000.6626854318547,-6.680618656677655e-05,4.98487869538669e-09,-6.680618656677652e-05,2.678741695691725e-19,12,10
60,V,-0.116,1000.0587176661993,-6.786707798504411e-05,9.07604698302654e-09,-6.786707798504413e-05,3.2526065174565133e-19,1,10
61,V,0.077,999.6438421858635,-6.667025386665095e-05,4.269220179070045e-09,-6.667025386665088e-05,8.538092108323347e-19,1,10
62,V,-0.077,999.356433897505,-6.734676725916837e-05,5.110054937040217e-09,-6.734676725916835e-05,2.981555974335137e-19,1,10
63,V,0.051,999.0310320739518,-6.663837772802821e-05,7.28619446451924e-09,-6.663837772802823e-05,3.7714141976497723e-19,12,10
64,V,-0.051,998.7674329557519,-6.709594158825057e-05,8.274086685720751e-09,-6.70959415882505e-05,5.55653613398821e-19,1,10
65,V,0.034,998.3542435211714,-6.667729703423454e-05,5.287653719627852e-09,-6.667729703423462e-05,7.318364664277155e-19,1,10
66,V,-0.034,998.2296366941434,-6.695806465962342e-05,7.44941314276263e-09,-6.69580646596234e-05,3.0487892145234473e-19,12,10
67,V,0.023,998.0131215186287,-6.669510713798584e-05,8.862570822227526e-09,-6.669510713798584e-05,2.771121226501647e-19,12,10
68,V,-0.023,997.9375897302409,-6.689129543154749e-05,8.095004715963526e-09,-6.689129543154749e-05,3.361794358313513e-19,12,10
69,V,0.015,997.7600296190867,-6.673254981645114e-05,7.245169207320856e-09,-6.673254981645114e-05,2.692779559483131e-20,1,10
70,V,-0.015,997.7737047136077,-6.684095303758779e-05,7.032687682270287e-09,-6.684095303758775e-05,6.776263578034403e-19,1,10
71,V,0.01,997.7361485166226,-6.674329245665238e-05,1.0532362469768174e-08,-6.674329245665253e-05,7.724940478959219e-19,1,10
72,V,-0.01,997.5865425563961,-6.68305951689513e-05,7.828056770752234e-09,-6.68305951689512e-05,7.995991022080595e-19,1,10
73,V,0.0,997.508939872582,-6.677013164675354e-05,6.556621899611414e-09,-6.677013164675349e-05,2.9455570740768294e-19,12,10
