turn_idx,B1,A1,B2,A2,B3,A3,B4,A4,B5,A5,B6,A6,B7,A7,B8,A8,B9,A9,B10,A10,B11,A11,B12,A12,B13,A13,B14,A14,B15,A15
157,-1312659027.8570976,4653866546.925028,2.982511092352647,-7.197034230627849e-20,3228.1978589518408,13841.072065521856,-0.005421132720886424,-1.4249239234685531,-475137.1245924603,226034.6292454787,150.78369965455622,255.4100767127365,173499928.38371497,1365043976.103333,120306.26504750091,716532.373080095,-807577008689.5488,282587902563.2112,257738093.5097499,-1608030369.8179867,25409618230021.12,-1239566474852319.8,-601339922594.978,-1875256298826.9514,-8.528068377972651e+18,7.182497505674525e+18,4294425298993823.5,5371558354630779.0,-1.2757464379398205e+21,-8.013913276260449e+21
158,-1306997692.096894,4706519357.764335,2.9825013030205487,-1.24133702162896e-18,3149.6418961923337,13737.717772101129,-0.07459998165891309,-1.2779100636375695,-702340.5113859976,413072.3635523379,-196.05629527351033,432.0522867346683,-234107592.5778868,1914526931.3197012,425331.0305583891,-315962.46188005956,1130063155330.098,-1743749062519.661,40254596.62506921,-1928544076.6382668,581811748970656.8,-2031125048554643.8,100127108872.47359,-1079372155195.099,-1.1185556209401575e+19,-2.8763378858831903e+18,2870462100082009.5,9562222177943884.0,7.598434617173219e+21,-1.638968477598199e+21
159,-1224178311.3669043,4712610888.216797,2.9824843507692322,1.2988375261367126e-19,3070.731327649596,13744.359048413955,0.018826833131367852,-1.1610910822948695,-193398.4478939008,696973.3161938543,-285.8694786439228,-85.34330462524431,-309010952.3644287,1587314395.2015617,185970.4872529362,-820227.2557946048,939211700733.7507,-1916173905830.3625,-119020679.59082247,-958352105.1953883,1558396719476315.0,-3092394682299834.5,-1021631700943.0424,-1375808810759.7253,-6.73116628305006e+18,-9.85849890733781e+18,-1411870940686301.8,3854077796367895.5,3.9250792760816037e+21,6.992596853166192e+21
160,-1162686048.2054322,4584225407.45164,2.9825143652215917,-7.271454386052067e-19,2865.004275982937,13948.05057614194,0.051924277430835455,-1.3076526109935533,-356230.4343383978,124122.29265552139,-86.1513338797313,209.6358641555879,-187734174.43834645,1449719090.7370505,-248441.34431231176,287056.09103529865,997898287716.4276,445588800653.2026,641411386.099454,-1774776186.8723197,3137131219923537.5,-2352856030711948.5,291686045340.1662,193103739490.24423,3.897209418375526e+18,-6.422557595146694e+18,1486953259028839.2,-281371866017801.75,-6.533336948092595e+21,4.05762157032757e+20
161,-1125356614.20973,4389434087.614872,2.982484016356573,-3.2429176957828716e-18,2881.013714678054,13626.46080930856,-0.039372013438373876,-1.353083736755186,-562280.8922139753,148212.73759096567,-119.20117899031254,398.72972996099946,-753692605.7798202,1618111018.5249352,488056.4554758871,665691.4320771414,1872865292404.4883,890061051857.4077,7698810.109907574,-1580583320.3695495,2695525759409776.5,-1214588950423821.2,-2103900332477.4058,394594957188.41583,7.274367071368713e+18,3.485176001786341e+18,5566188917591590.0,-1171492233482220.0,-3.7700437023082854e+21,-1.6369014882371025e+21
162,-1113380241.1631546,4452586333.583653,2.9824618449768603,8.185820753226717e-19,2941.880969409629,13580.08587722315,-0.08198989855081658,-1.243985756901986,-388605.9792917433,913103.6439280101,-294.2169740845902,24.754349744564458,-1175636189.3775945,1370967912.8646066,539511.2451724365,-36664.53165995423,859399943120.1338,-301813740206.37885,286934609.5004589,-104933267.59004983,3435295446580616.0,-644253247119544.8,-3769041380711.7695,-1255969567915.1719,-9.486964864487424e+17,9.5604373077349e+18,9388226250810128.0,4287511699665581.5,-1.3323173705469185e+21,-5.665468272979637e+21
163,-1401547322.058289,4499951348.6378975,2.98251564977442,2.16734007495134e-18,2870.3695773224276,13774.912780017952,-0.034905217530808164,-1.3392411417244208,-376324.77191379777,244213.2714024988,75.17390375974287,320.9104714647697,-258909021.62631816,1197900640.036014,-253325.56774428175,237188.76746528188,-561725532419.4712,1724749087843.7446,607448401.4457886,-1875480643.3030767,3119672371804793.0,-705288653137449.2,-2389624627673.0234,-1141834499799.678,-8.365969960992077e+18,5.399218409099348e+18,3867164635901783.5,1.0386495625054902e+16,4.0160286082651615e+21,-2.8547135039878935e+21
164,-1190990945.95762,4378755177.725724,2.982502500201323,2.864128496365711e-19,2858.4469197744843,13652.589202777244,0.04806850601643304,-1.2931763965360297,-389801.2526101536,8927.770702832337,40.97936069498372,293.4491468744409,-323386929.4643469,723879905.2690971,-116587.73288249502,2038.3209994717865,-173263255156.30078,1296754608636.982,-594404169.915342,-1224394541.613177,1570063129976826.8,455467865854761.2,-3505918985386.0044,-4601433375882.717,-1.2049550379431326e+19,-1.6326415668286492e+18,861683643101673.8,8597263480007757.0,5.241002116036665e+21,7.867420901129443e+21
165,-1355136035.3296664,4544828124.70898,2.9824580691387497,9.52927592872023e-19,3163.230405539954,13537.464998111023,-0.06394341196045503,-1.2744759134440005,-317801.6456655434,817492.0004263604,-295.6931980453132,-59.113018244126465,-973766733.6121044,850704239.236487,405935.6319772318,132735.1941370054,-448560401534.2908,-670543034424.71,6041966.608061114,-408182138.58901983,1606064887151145.5,537191219707260.3,1927347518922.768,-3751875610916.0903,-3.0173496530154184e+18,-1.1705541395540746e+19,-681030430896555.0,4010188955144547.0,-3.516008231218728e+21,3.5739834249583143e+21
166,-1278039662.242819,4652308207.486062,2.982484568475656,1.125621261004439e-18,2851.5346314863627,13712.1897167445,-0.08123013912642342,-1.3883161096065546,-380963.4486457109,591019.9496714276,-355.2995228245179,239.073297312903,-84074728.38665204,1222447628.2844596,473379.66599731665,16481.510909791454,-595878485278.9277,-1683285122979.6213,475011280.22692084,-1433623834.308345,102347431521889.52,-670248015880763.0,2551151684776.587,-259723130952.31754,5.293176611527202e+18,-6.449718858729882e+18,2566293743414595.0,-1970297562336896.8,-4.87381765186557e+21,4.1465595881139067e+21
167,-1316061674.9430747,4638797725.086939,2.9824740179803837,-3.4565877378511522e-18,3109.208347648749,13762.148234727587,-0.00620040485596989,-1.1497131422856526,-20834.94343486245,811227.634225391,-237.08752557111438,106.09958994503769,-126119617.62081258,1152423109.2178044,511752.109527023,-1026789.0314280499,446504976306.9666,-1970605001074.5776,-440349612.2065469,-1520121521.0098984,989553989377382.4,-1648339895474346.5,-4725854505684.999,536526993162.3667,-7.6677351398432e+16,-8.413546836671427e+18,6843761838485229.0,1.5442869856214678e+16,6.496157213495193e+21,-6.038077136062994e+21
168,-883725699.7047069,3448758977.241554,2.387352093782408,-5.887372115737584e-20,2297.986154902222,10827.961100658154,-0.05402157930509078,-1.053312342426447,-657185.9395606732,137089.71110172808,-62.55940320967433,340.1569905796323,-373284755.21716845,1721670677.4428222,664570.5416791235,430464.13744558056,2368957486533.9253,399867528323.30756,-66249042.36884788,-1106406044.5515003,1810274029338171.0,-1877265262416322.5,-1513964780492.6055,-1025065620922.8965,4.139350283922109e+18,-5.652797045577799e+18,2255405399263587.0,2351248449846234.0,-1.1509994820124596e+21,-6.259869828924548e+19
169,-933134981.624871,3426381776.5834756,2.387338406168303,3.6665372407992383e-19,2357.3824270406567,10763.924632115246,-0.049492564249389734,-0.9506959065517704,-149657.17962911932,657605.0575310878,-341.7944484318411,196.0817204580519,-694536052.6882612,1615174595.746647,311457.0205968339,-133568.68389146184,915147220465.5286,6926238617.481756,582846818.5583745,-723801398.6095178,2735298761621314.5,-2185678690911339.0,-943799343196.074,-1622412177442.1514,5.391235228163296e+18,2.727632139502345e+18,4180434823243336.5,65512263856735.67,-4.682967398672188e+20,8.599607060243456e+20
170,-1011285995.8840535,3390768168.745807,2.3873712041331943,-3.386047823081476e-19,2254.503841470958,10872.615471759771,-0.0229618848600147,-0.9968596382241326,-358286.56173790933,304867.63452335657,-28.102221983388702,154.6931820431962,-618103181.1792634,1044806113.956003,-105059.32819984994,-93495.75585162007,208927733517.63785,1295983904249.8247,261126365.6448783,-1269752622.919543,2685682945191169.5,-1262295919016631.0,-913955160645.4257,-1126506784364.385,-1.1386190689402482e+18,8.836585147695803e+18,7924710944780128.0,1016932625501056.4,-1.061461131584983e+21,-4.980827145777377e+21
171,-1041623535.9308593,3438410345.970505,2.3873736043761498,4.2010339782229244e-19,2324.8618259582854,10764.620015027136,0.03424258002875023,-1.064957950448244,-387236.52087438107,-86152.52695565842,54.15899226979108,159.46989863558804,-986296496.835024,790401030.2168912,-79406.28647302043,-155760.90553871333,28634484788.58202,1207573085591.5764,-640657067.378613,-787457905.4798666,2760641512836819.5,-21296215952383.96,-1576947760786.4734,-1760020995180.6392,-8.193913490586756e+18,5.700513350307338e+18,4234626913431172.5,5836591404550518.0,2.2469111206832646e+21,-2.456192378417829e+21
172,-1038307840.3761529,3531736249.353068,2.38734751481243,-7.810866182077345e-19,2536.622642150968,10608.81380649629,-0.04620465147521746,-1.0198511118559919,-278803.66998834367,550166.0911833576,-388.4136005050909,85.07107327627887,-896207632.8949885,741357868.4113898,366506.3796908289,109998.99887075693,239017286370.09738,-392685479397.3159,665210527.8554353,-255866196.01934123,2780627552097311.5,236471621205909.4,1021104329416.7565,-2423553061996.5405,-1.0429649763786625e+19,-3.990133869900264e+18,2116369334394475.0,4947746223333831.0,2.2299412375458671e+21,2.517303747647375e+21
173,-1107146566.3390453,3544492436.049349,2.3873478952431917,9.234536005211148e-20,2363.8700632997957,10750.068094825865,-0.09760760874676427,-1.0099371455675297,-101691.90250501908,424809.27454735397,-274.9466506082504,349.3154464254252,79820142.43713354,601321875.6404577,594237.7946720812,68660.74229276786,-1023871982424.5465,-679768427645.4647,81521976.91223048,-838409760.6613955,1111659008704166.0,1239899918159666.5,600747078835.4531,791926511667.0325,-2.7725974828702664e+18,-9.035129843444961e+18,-1067392690039885.8,3386234194590166.5,2.4125150489552686e+21,2.6679803093449e+21
174,-989337895.2555442,3570172935.3588696,2.3873566131143913,1.4849634600443507e-18,2488.2382058125336,10808.274154567596,0.052383403740835915,-1.0239036311686138,-344784.6778301772,-96082.72788041852,-59.75659800601325,261.040612167691,-209613792.14289936,368032052.3410322,-54320.657495759246,-279979.7715016567,-176688146915.09067,-136807343647.45432,-1095130313.312503,-839030514.1425258,598603663142461.6,1294782478049579.5,-750328983557.4816,198738077958.99002,2.6702959071274644e+18,-4.404874362416178e+18,-109057223981497.14,-354742006061128.8,-4.561892661741733e+21,8.391314569261194e+21
